,age,gender,employment_years,employment_status,monthly_income,monthly_expenses,credit_history_years,past_default,residence_type,loan_amount,education,loan_intent,interest_rate,loan_percent_income,credit_score,loan_status,expense_to_income
0,22,0,1.0,1,2082.75,1351.71,3.0,1,0,16600.0,0,4,9.76,7.97,634.0,0,0.65
1,24,0,3.0,0,2090.58,1282.9,4.0,1,2,15900.0,1,3,9.92,7.61,603.0,0,0.61
2,26,1,4.0,0,2693.75,2161.56,2.0,0,3,20050.0,3,1,9.76,7.44,652.0,1,0.8
3,30,1,8.0,0,3277.0,2244.99,5.0,0,3,24250.0,1,4,11.12,7.4,671.0,1,0.69
4,21,0,0.0,2,2039.0,1410.72,2.0,0,0,15000.0,0,1,9.64,7.36,548.0,1,0.69
5,32,0,10.0,0,1278.33,766.73,6.0,0,3,9325.0,0,3,8.38,7.29,673.0,1,0.6
6,23,1,1.0,1,1963.42,715.16,3.0,0,2,13897.0,0,4,8.67,7.08,671.0,1,0.36
7,25,0,4.0,0,3274.08,1781.73,4.0,0,0,22750.0,4,4,6.17,6.95,703.0,0,0.54
8,24,1,0.0,2,1890.33,1064.8,3.0,0,2,13000.0,0,4,7.88,6.88,640.0,1,0.56
9,28,1,8.0,0,2474.67,1851.58,10.0,0,3,16750.0,0,3,14.96,6.77,677.0,1,0.75
10,21,1,0.0,2,1367.67,1186.67,3.0,0,3,9250.0,4,0,12.53,6.76,707.0,1,0.87
11,25,0,1.0,1,2593.67,1432.96,2.0,1,2,17500.0,1,3,14.22,6.75,606.0,0,0.55
12,24,1,4.0,0,2986.08,2340.08,3.0,0,0,20000.0,1,2,10.62,6.7,717.0,0,0.78
13,25,1,1.0,1,3096.92,1654.65,4.0,0,0,20667.0,0,5,9.54,6.67,667.0,0,0.53
14,23,0,0.0,2,3195.33,2650.15,4.0,0,3,21199.0,3,0,12.53,6.63,653.0,1,0.83
15,22,1,0.0,2,3206.08,2444.65,3.0,0,3,21250.0,3,0,12.42,6.63,599.0,1,0.76
